id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
48401930,31,32,31.0,31.0,1125.0,1125.0,31.0,1125.0
48402694,2,365,1.0,2.0,365.0,365.0,1.3,365.0
48420639,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48420788,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48425132,1,365,1.0,1.0,999.0,999.0,1.0,999.0
48427765,32,1125,32.0,366.0,1125.0,1125.0,352.6,1125.0
48428931,3,30,3.0,29.0,1125.0,1125.0,9.8,1125.0
48431239,2,365,2.0,31.0,1125.0,1125.0,4.0,1125.0
48448944,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48480522,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48480619,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48483204,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48498684,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48498771,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48498928,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48498997,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48502935,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
48518066,31,60,31.0,31.0,60.0,60.0,31.0,60.0
48535775,32,1125,32.0,366.0,1125.0,1125.0,348.1,1125.0
48559754,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48560292,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48560431,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48564277,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48572918,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48580092,31,365,31.0,31.0,365.0,365.0,31.0,365.0
48601162,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48602008,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48603444,31,365,31.0,31.0,365.0,365.0,31.0,365.0
48603452,31,365,31.0,31.0,365.0,365.0,31.0,365.0
48622303,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48624337,31,365,31.0,31.0,365.0,365.0,31.0,365.0
48628611,1,365,1.0,2.0,1125.0,1125.0,1.3,1125.0
48628613,1,365,1.0,2.0,1125.0,1125.0,1.3,1125.0
48628617,1,45,1.0,2.0,1125.0,1125.0,1.3,1125.0
48628618,1,365,1.0,2.0,1125.0,1125.0,1.3,1125.0
48628620,1,365,1.0,2.0,1125.0,1125.0,1.9,1125.0
48628626,1,365,1.0,2.0,1125.0,1125.0,1.3,1125.0
48628629,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0
48654435,2,21,2.0,2.0,1125.0,1125.0,2.0,1125.0
48656829,31,365,31.0,31.0,31.0,1125.0,31.0,531.9
48679512,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0
48680377,30,600,30.0,30.0,600.0,600.0,30.0,600.0
48681132,2,1125,2.0,7.0,1125.0,1125.0,2.6,1125.0
48694746,2,7,2.0,2.0,1125.0,1125.0,2.0,1125.0
48697906,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48698210,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48698426,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48698590,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48699869,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48701419,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48702391,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48710238,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
48713100,1,1125,1.0,1.0,1125.0,2147483647.0,1.0,2137610164.1
48715107,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48715331,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0
48734014,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48734193,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48741430,365,730,365.0,365.0,1125.0,1125.0,365.0,1125.0
48746814,3,15,3.0,3.0,1125.0,1125.0,3.0,1125.0
48751212,1,1125,1.0,1.0,1125.0,2147483647.0,1.0,2137610164.1
48751404,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48751624,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48751742,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48751974,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48752082,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48752131,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48754351,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48757013,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48764314,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48764619,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48766089,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48769123,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
48789743,31,360,31.0,31.0,1125.0,1125.0,31.0,1125.0
48804153,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48827054,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
48831680,3,360,1.0,5.0,360.0,360.0,3.0,360.0
48832169,30,365,1.0,2.0,365.0,365.0,1.3,365.0
48832570,3,360,1.0,5.0,360.0,360.0,3.0,360.0
48832580,31,360,31.0,31.0,1125.0,1125.0,31.0,1125.0
48841313,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0
48844621,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0
48851573,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0
48862420,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48871515,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48882791,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48883039,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48888669,2,21,2.0,2.0,1125.0,1125.0,2.0,1125.0
48901549,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
48902103,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
48906105,31,365,31.0,31.0,365.0,365.0,31.0,365.0
48916702,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
48918367,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
48919568,14,1125,14.0,14.0,1125.0,1125.0,14.0,1125.0
48920550,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0
48933860,2,60,2.0,2.0,60.0,60.0,2.0,60.0
48934429,31,365,3.0,31.0,365.0,365.0,23.4,365.0
48940186,1,365,1.0,2.0,365.0,365.0,1.4,365.0
48948711,32,1125,32.0,366.0,1125.0,1125.0,354.1,1125.0
48950666,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48950835,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48973758,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0
48975990,1,1125,1.0,2.0,1125.0,1125.0,1.1,1125.0
48977323,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0
48978596,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
49013551,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49014419,3,60,3.0,3.0,1125.0,1125.0,3.0,1125.0
49017906,7,1125,7.0,7.0,1125.0,1125.0,7.0,1125.0
49018035,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
49029925,2,12,2.0,2.0,1125.0,1125.0,2.0,1125.0
49044242,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
49044678,60,1125,60.0,60.0,1125.0,1125.0,60.0,1125.0
49061918,2,12,2.0,2.0,1125.0,1125.0,2.0,1125.0
49068761,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
49071104,2,14,2.0,2.0,1125.0,1125.0,2.0,1125.0
49080071,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
49089210,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
49094727,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49108792,20,1125,20.0,20.0,1125.0,1125.0,20.0,1125.0
49120710,32,1125,32.0,365.0,1125.0,1125.0,354.1,1125.0
49126142,32,1125,32.0,366.0,1125.0,1125.0,354.1,1125.0
49126659,3,30,3.0,3.0,30.0,30.0,3.0,30.0
49135630,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
49158679,6,1125,6.0,6.0,1125.0,1125.0,6.0,1125.0
49159524,3,90,3.0,3.0,1125.0,1125.0,3.0,1125.0
49160564,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0
49177986,2,30,1.0,2.0,2.0,1125.0,2.0,1122.4
49181980,1,60,1.0,1.0,60.0,60.0,1.0,60.0
49183172,3,365,3.0,4.0,365.0,365.0,3.2,365.0
49192435,91,106,91.0,91.0,106.0,106.0,91.0,106.0
49194435,91,106,91.0,91.0,106.0,106.0,91.0,106.0
49198979,1,1125,1.0,31.0,1125.0,1125.0,25.3,1125.0
49212474,2,6,2.0,2.0,6.0,6.0,2.0,6.0
49215258,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
49230094,2,365,2.0,2.0,1125.0,1125.0,2.0,1125.0
49233669,31,365,31.0,31.0,1125.0,1125.0,31.0,1125.0
49254491,2,1125,1.0,1.0,999.0,999.0,1.0,999.0
49254493,2,1125,1.0,1.0,999.0,999.0,1.0,999.0
49254495,2,1125,1.0,1.0,999.0,999.0,1.0,999.0
49256863,31,100,31.0,31.0,1125.0,1125.0,31.0,1125.0
49268517,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49273757,14,1125,7.0,14.0,1125.0,1125.0,13.8,1125.0
49344554,2,1125,2.0,7.0,7.0,1125.0,3.4,827.6
49346210,2,14,1.0,2.0,1125.0,1125.0,2.0,1125.0
49362172,31,60,31.0,31.0,60.0,60.0,31.0,60.0
49364931,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49371148,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49381625,91,106,91.0,91.0,106.0,106.0,91.0,106.0
49382079,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49396444,31,120,31.0,31.0,120.0,120.0,31.0,120.0
49400352,31,365,31.0,31.0,1125.0,1125.0,31.0,1125.0
49400577,3,365,3.0,4.0,365.0,1125.0,3.2,943.3
49423253,2,180,2.0,2.0,180.0,180.0,2.0,180.0
49424718,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
49425315,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
49425657,1,365,1.0,2.0,365.0,365.0,1.5,365.0
49425663,2,365,1.0,2.0,365.0,365.0,1.5,365.0
49425664,2,365,1.0,2.0,365.0,365.0,1.5,365.0
49467232,4,29,4.0,4.0,29.0,29.0,4.0,29.0
49467291,3,365,2.0,3.0,1125.0,1125.0,2.9,1125.0
49480922,31,365,3.0,31.0,365.0,365.0,12.5,365.0
49481871,1,12,1.0,7.0,1125.0,1125.0,1.2,1125.0
49499457,30,180,30.0,30.0,180.0,180.0,30.0,180.0
